title,company,location,duration,post_date,deadline,field,url,page_number,description,match_probability_AI_engineering,match_probability_full_stack_development,match_probability_software_engineer,match_probability_software_developer,average_match_probability
Italian junior teacher,Simply Speaking,"Wrocław, Poland",3 months,"24 Mar, 2021","30 Apr, 2025",Education and/or Teacher Training,https://erasmusintern.org/traineeship/italian-junior-teacher,75,"We will teach you how to teach! You will be junior teacher, working with small groups of students (mostly adults or teenagers) with support of most experienced teachers in our school. You will have opportunity to observe different methods of language education at every level, use materials prepeared by teachers and create your own base of materials you can use in the future. We are flexible when it comes to start date and duration of internship as well as working hours.",0.20182073,0.12575597,0.18130904,0.19121203,0.17502445
"SMM, Digital Marketing and Content Writing Internship at AGRILYTIX",AGRILYTIX,"Prague, Czech Republic",4 months,"7 Sep, 2023","1 Mar, 2025","Business Studies and/or Management Science, Communication and Information Sciences",https://erasmusintern.org/traineeship/smm-digital-marketing-and-content-writing-internship-agrilytix,53,"Digital Marketing Intern Company: AGRILYTIX Location: Prague Duration: 3-6-9 month About AGRILYTIX: We're reinventing agriculture commodity trading. AGRILYTIX is a cutting-edge tender application platform that bridges the gap between suppliers and buyers in the agricultural sector. We're passionate about leveraging technology to enhance transparency, efficiency, and accessibility in commodity trading. Role Overview: As a Digital Marketing Intern, you'll be at the forefront of promoting our innovative tender application to a global audience. This is an excellent opportunity to gain hands-on experience and play a crucial role in driving the digital presence and growth of AGRILYTIX. Key Responsibilities: Content writing for blog posts, social media posts (LinkedIn, X (former Twitter)) Collaborate with the marketing team to develop and implement online campaigns. Engage and grow our online community through social media platforms. Analyze web traffic metrics and suggest solutions to boost online presence. Assist in creating engaging content for our blog, newsletter, and social media channels. Monitor SEO/SEM, marketing, and sales performance metrics to forecast trends. Requirements: Currently pursuing or recently completed a degree in Marketing, Business, or a related field. Familiarity with major social media platforms (LinkedIn, Facebook, Twitter, etc.). Basic understanding of digital marketing tools and techniques. Strong analytical and multitasking skills. Excellent written and verbal communication. Enthusiasm to learn about the agricultural commodity market and AGRILYTIX offerings. Keywords: Digital marketing, SEO, SEM, content creation, agricultural tech, AGRILYTIX internship, social media engagement, online campaigns, marketing analytics. What We Offer: A collaborative environment with a passionate team. Opportunity to work on real-world marketing campaigns. Insights into the agricultural commodity trading sector. Networking opportunities with industry professionals. To apply, send your resume and a brief cover letter detailing your interest in the role to [your email address]. Kindly use the subject line ""Digital Marketing Intern Application – [Your Name]"".",0.16687754,0.16278969,0.17193422,0.198414,0.17500386
Content Marketing Internship in Warsaw with Italian language,PDV Media,"Warsaw, Poland",4 months,"19 Feb, 2025","31 Mar, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Humanities",https://erasmusintern.org/traineeship/content-marketing-internship-warsaw-italian-language-18,7,"Writing and updating blog articles in WordPress about the following topics: finance, digital marketing , personal development, dating and tech Sarch Engine Optimization (SEO) Creation of infographics and visual content with the tool Canva Requirements: Italian language: native with very good writing skills English language: at least B2 Great interest in learning everything about blogging,SEO and advertising Positive attitude What we offer you: Flexible working hours and young and start-up environment Training about copywriting, SEO, blogging and online business Possibility to continue the collaboration after the internship completion We are flexible about the starting and ending dates of the intership. If you are interested in the internship, you can send your CV with a brief presentation about yourself to the email address: [email protected] . Please note that we do not consider generic applications.",0.14422151,0.1655411,0.20664045,0.18160419,0.17450182
Creative writing/journalism intern in English,Asociación Cultural “Europa Libre Opinión”,"Malaga, Spain",3 months,"25 Jan, 2022","24 May, 2025","Art and Design, Communication and Information Sciences, Languages and Philological Sciences",https://erasmusintern.org/traineeship/creative-writingjournalism-intern-english-1,71,"What we do? We are organization and we promote the dissemination of the customs and traditions of all European local identities, information for European citizens in a more accessible way. We disseminate and defend free and independent information and we are also a young team desiring to meet people from other countries. Who we are looking for? ·         Currently enrolled student in a specialist of Journalism, Languages, Literature, Communication, Marketing  or similar; ·         Working experience in one of these fields is not a must, but it would be a big advantage; ·         Knowledge of Wordpress would be a big plus; ·         High level of English (minimum C2); ·         Open-minded and well-organized; ·         Attention to detail, ability to work on computers ·         Positive and energetic person; ·         Able to work alone and also in the team, meet deadlines, multitask person What will be your role? Creating posts and writing articles and posting them on our website and social media; Preparing press materials, Managing pitch lists; Tracking media for high-selling titles, creating content for social media like Instagram,FB; Drafting ad copy for FB,Instagram and other and researching target groups; Promoting and presenting our products and trying to get more customers; Improve our publicity and make our company more visible; Working in cooperation with our Graphic Designer and Product Designer; Creatin SEO contents, Grammar, spelling and plagiarism check Why should you apply? ·         To gain better knowledge and practical experience in Creative writing Marketing and Publicty; ·         To understand the mechanisms of the field of Journalism; ·         To work in a team of young international professionals. What we offer? ·         25-40 hour weekly commitment; ·         Flexible working time; ·         Working in a positive and dynamic environment; ·         An internship period from 3 up to 12 months. ·         Availability to work remotely. How to apply? Please send us your CV and Motivation letter to [email protected]",0.14943935,0.15473068,0.20382094,0.18848342,0.1741186
Internship - Community Manager and RRPP,Emycet Viajes y Eventos,"GRANADA, Spain",3 months,"25 May, 2023","1 Apr, 2025","Art and Design, Business Studies and/or Management Science, Communication and Information Sciences",https://erasmusintern.org/traineeship/internship-community-manager-and-rrpp,58,"Apoyar en la gestión de redes sociales y actividades de relaciones públicas de la organización. Responsabilidades principales: Crear y programar contenido para redes sociales. Monitorear y responder a interacciones en redes sociales. Investigar tendencias y buenas prácticas en redes sociales. Asistir en eventos y actividades de relaciones públicas. Competencias requeridas: Conocimiento de redes sociales y herramientas de gestión de contenido. Habilidades de comunicación y creatividad. Capacidad de trabajar en equipo y organización. Requisitos adicionales: Español: nivel minimo B1 Inglés: nivel minimo B1 EMYCET es una compañía creada en 2011 para inspirar a la gente a cumplir sueños, para vivir mejor viajando y explorando destinos increíbles. Ponemos a servicio de nuestros clientes nuestra experiencia para hacerles felices, cuidando los detalles, animándoles, haciéndoles disfrutar y conocer sitios increibles.",0.10869866,0.15113333,0.22076641,0.21489896,0.17387433
Marketing / Social Media Assistant,World Class Bcn,"Barcelona, Spain",3 months,"22 Jul, 2020","27 Apr, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Languages and Philological Sciences",https://erasmusintern.org/traineeship/marketing-social-media-assistant-2,77,"English B2 (Spanish is a plus) Experience (Not mandatory): Digital design, content production. IMPORTANT DATA Term: 3 to 9 months Time: any time of the year Working hours: 30 hours per week Start: flexible Schedule: To be agreed ABOUT US We are a very social language school located in the center of Barcelona. We're looking for an open, positive and creative person. We can't offer compensation but we can offer you a Spanish course during your stay. We are flexible about when you start and how long is your internship. Get to know us! www.worldclassbcn.com https://www.facebook.com/worldclassbcn/ Instagram: @worldclassbcn",0.13219106,0.13651529,0.22768453,0.19815719,0.17363702
CREATIVE DIGITAL MARKETING - INTERN,HOUSE OF CO.,"Antwerp, Belgium",6 months,"18 Feb, 2025","18 Apr, 2025",Art and Design,https://erasmusintern.org/traineeship/creative-digital-marketing-intern-2,9,"Create- You will be responsible for creating stunning visuals that capture the essence of House of Co. From eye-catching social media graphics to sleek website layouts, your designs will not only draw attention, but also communicate the luxury and vibrancy of our brand. Write- You will write engaging and persuasive copy that resonates with our audience. Whether it's a social media post, a blog entry, or a marketing email, your words will spark excitement and forge a connection with our community. They will help to build and sustain their engagement with our brand. Campaign- You will lead the charge in developing and executing digital marketing campaigns that not only put House of Co on the map, but also extend our reach beyond it. Your campaigns will be strategic, creative, and aimed at positioning us as leaders in the luxury co-living and co-housing space. Analyze- You will utilize the power of data to refine our strategies and ensure that every campaign achieves maximum reach and impact. By analyzing performance metrics and audience insights, you will continuously optimize our digital marketing efforts and make data-driven decisions that will enhance our success. WHAT WE ARE LOOKING FOR Proficiency in Adobe Creative Suite is exactly what we need. Your skills will enable you to produce high-quality visuals that align perfectly with our brand’s aesthetic. We are seeking individuals who possess the ability to craft compelling English copy with a flair that not only informs but also inspires. If you have a talent for creating compelling English copy that attracts attention and encourages action, you would be a perfect fit for this role. A solid understanding of SEO, SEA, and social media advertising is a big plus. Your expertise in these domains will aid us in optimizing our online presence, ensuring that our content reaches the appropriate audience and exhibits optimal performance. We're looking for someone who is not only creative, but also proactive, and enthusiastic. If you are a problem-solver with a positive, can-do attitude who loves to bring fresh ideas to the table, then you are exactly who we're looking for. Apply by sending your CV and portfolio showcasing your experience and creativity to [email protected]",0.21244775,0.14406183,0.17033836,0.16596344,0.17320284
Event & Project Intern in Selçuk University Erasmus Office-(Only Students with Erasmus+ Grant)(Short or Long Term),Selçuk University Erasmus+ Coordination Office,"Konya, Turkey",9 months,"28 Feb, 2023","1 Jun, 2025","Art and Design, Languages and Philological Sciences, Social Sciences",https://erasmusintern.org/traineeship/event-project-intern-sel%C3%A7uk-university-erasmus-office-only-students-erasmus-grantshort,62,"We carry out projects within the scope of the Erasmus program. We organize social activities, speaking clubs, social inclusion events and various trainings within the scope of the projects. We are looking for interns so that disadvantaged groups can be included in these activities.",0.17598288,0.19169179,0.15326644,0.17143176,0.17309321
Erasmus Work Placement Offer: Academic Assistanship in Istanbul,Institute of Population and Social Research,"Istanbul, Turkey",12 months,"3 Dec, 2024","31 Mar, 2025","Humanities, Law, Social Sciences",https://erasmusintern.org/traineeship/erasmus-work-placement-offer-academic-assistanship-istanbul,25,"Istanbul, Kadikoy Function types:                     Support staff (Clerical, Administrative, Facility) About employer:                  Marmara University Institute of Population and Social Research Short link: https://nsp.marmara.edu.tr/en Duration:                                Long-term internship is preferred Job description The trainee will carry out tasks as follows: Assist the faculty with the field research. Daily News Review: Reviewing international media. Help to develop the teaching materials such as syllabi, visual aids, answer keys, and supplementary notes. Provides support for events, such as preparing info notes for interviews and PowerPoint presentations for conferences. Assist to data analysis (optional) Help in updating the website. Various academic duties. Requirements Graduate (MA and PhD) students (Politics, International Relations, Sociology, History, Economics, and related programs preferred) Excellent communication and computer skills. Excellent writing and comprehension skills in English - competent in MS Office programmes; (Very good English language skills (If any IELTS/6,5, TOEFL/80 scores or C1 level, is an advantage) Highly organized, accurate and structured way of working. Proactive and independent working style. Self-starter, positive attitude, flexible, team player. Interested in working in an international environment. Optional: Good command of data analysis, especially “MS. Excel”, “Python” and “R” programming languages. Conditions of employment We offer a position in an international and dynamic work environment. 1/8 of the university student body is international coming from 40 countries. General knowledge and understanding of International Politics, sociology and political life. Contact Person Dr. Muzaffer ŞENEL Institute of Population and Social Research Marmara University Email: [email protected] If you are interested in this position, e-mail your resume and motivation letter to [email protected] Our internship announcements and positions are open year-round. You are welcome to apply at any time.",0.14900231,0.10830167,0.2180869,0.2154769,0.17271695
"Trainee at Afyon Kocatepe University, Turkey (International Relations Office, Veterinary Medicine, Mechanical Engineering, Management Information Systems, English Language Teaching)",Afyon Kocatepe University,"Afyonkarahisar, Turkey",3 months,"26 Nov, 2021","15 Mar, 2025","Business Studies and/or Management Science, Engineering and/or Technology, Languages and Philological Sciences",https://erasmusintern.org/traineeship/trainee-afyon-kocatepe-university-turkey-international-relations-office-veterinary,73,"Trainee at International Relations Office: Working at the International Relations Office, helping the incoming students and staff when it is necessary, doing the paper work at the office, sending e-mails, organizing social activities/events for the incoming students and staff, participating in the orientation programs both for incoming and outgoing students and having an active role in them, accompanying to incoming academic staff for the university/city tour, etc. Up-dating website, preparing banners, flyers, guide/handbooks, etc. Trainee at Animal Hospital: In our hospital, there are Internal Diseases, Surgery, Obstetrics and Gynecology, Reproductive and Artificial Insemination Departments. The intern will undergo special pet and cattle examinations and procedures at our hospital. The intern can choose one of the departments of Internal Medicine, Surgery, Obstetrics and Gynecology or Reproductive and Artificial Insemination according to his interest or rotate between these departments. Undergraduate students must be in the 3rd year and above. Trainee at Mechanical Engineering department: Interns studying in Mechanical Engineering or similar departments who want to improve themselves in the field of mechanical engineering or construction machinery and also want to take part in scientific projects can apply. The trainee will do internship in the Machinery Drawing and Construction and Machinery Operator departments. Candidates who have knowledge about machine tools or construction machines are given priority. Candidates who want to take part in scientific research projects are given priority. Interns are expected to work 2-3 days a week on scientific research projects. Trainee in Management Information Systems Department: We are looking for management and information technology students for an internship in Afyonkarahisar, Turkey. Applicants can be at different education levels (bachelor student, master or Ph. D). Candidates who are interested in IT, management, and software fields, who intend to work in these fields, and who are prone to teamwork will be preferred. Tasks: - Support to Management Information Systems Department; - Support to activities designed by the department - Support students in software and project applications Trainee in English Language Teaching Department: We are looking for master or Ph. D students who are interested in corpus linguistics. The main tasks: - Research on literature review, following the scientific research methods - Studies on academic writing",0.18409355,0.14286381,0.2007668,0.16296768,0.17267296
Spanish Sales Intern 2025,Nordic Unique Travels Oy,"Rovaniemi, Finland",4 months,"20 Apr, 2023","20 May, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Social Sciences",https://erasmusintern.org/traineeship/spanish-sales-intern-2025,60,"- Fluent in English and Spanish, both spoken and written; - Proficiency in MS Office; - Good communication skills; - Any other language is a plus. Your responsibilities: -  Sales: Assisting with sales activities, including generating leads, following up with clients, and contributing to sales strategies. Assisting the sales team throughout the sales and booking process; - Customer Service: Providing excellent customer service by addressing inquiries, resolving issues, and ensuring customer satisfaction. - Email Management: Responding to incoming emails promptly and professionally. - Communication with our partners and subcontractors. We offer: - Work in one of the most desired winter destinations in Europe - Rovaniemi; - Work in a dynamic, growing and international environment; - Professional experience for you to get first in hand in traveling industry. Note: We recommend you to apply for the Erasmus scholarship. If you are interested, please send us both cover letter and CV in PDF files to [email protected] . We are looking forward to hearing from you!",0.13723817,0.12852034,0.21329977,0.2108192,0.17246936
Marketing and Public Relations Intern,South Tours,"Malaga, Spain",3 months,"10 Nov, 2021","24 May, 2025","Business Studies and/or Management Science, Communication and Information Sciences, Social Sciences",https://erasmusintern.org/traineeship/marketing-and-public-relations-intern-0,73,"South Tours commits to delivering events that elevate your experience as a visitor in Malaga, Granada, and other areas of Spain. As a team of young, dynamic, talented locals and visitors alike, we work tirelessly to design top-quality products that highlight the genuine local culture and provide unforgettable experiences. Join us as we meet people worldwide and show them how mesmerizing, unique, and entertaining Malaga and Granada can be! Who are we looking for? Currently enrolled student in a specialty of Marketing, Psychology, Journalist or similar; Working experience in one of these fields is not necessary, but it would be a big advantage; Elevated level of English – both oral and written (Spanish would be a plus); Open-minded and well-organized; Attention to detail, ability to work on computers and use a camera; Positive and energetic person; Representative attitude and great social skills; Able to work alone and in the team, meet deadlines, multitask person; Experience using Flickr, YouTube, Twitter, Facebook, LinkedIn, Instagram, Pinterest, or blogging. What will be your role? Preparing press materials, Managing pitch lists; Tracking media for high-selling titles, creating content for social media like Instagram, FB; Drafting ad copy for FB, Instagram and other and researching target groups; Creating posts and articles and posting them on our websites and social media; Promoting and presenting our products and trying to get more costumers; Improve our publicity and make our company more visible; Working in cooperation with our Graphic Designer and Product Designer; Taking picture of the events; Checking review and answering on them. Why should you apply? To gain better knowledge and practical experience in Marketing and Publicity; To understand the mechanisms of the field of Tourism; To work in a team of young international professionals. What do we offer? 25-40 hours weekly commitment; Flexible working time; Working in a positive and dynamic environment; An internship period from 3 up to 12 months. How to apply? Please send your CV and Motivation Letter to [email protected] , disclosing the position and the period you wish to apply for.",0.07706584,0.14505014,0.2519693,0.21528317,0.1723421
"ADMINISTRATION, ADMISSIONS AND MARKETING SUPPORT",Inspired Education,"Madrid, Alicante, Murcia, Spain",10 months,"26 Dec, 2024","1 Apr, 2025","Business Studies and/or Management Science, Communication and Information Sciences",https://erasmusintern.org/traineeship/administration-admissions-and-marketing-support-0,22,"August 25 - June 26 Regime: Full time, Monday to Friday Schools location: Madrid-Alicante-Murcia Salary: 300€ - 400€ gross per month* + school lunches *depending on the school How to apply: Please send applications (subject email: Position + Location) consisting of a CV and a covering letter (max. 2 sides of A4) explaining the candidate’s suitability and experience making explicit reference to the Job Description and Person Specification to [email protected] Why Inspired Schools? Inspired offers a great opportunity for students and recent graduates to be transformed by an enriching experience. While exploring new and exciting environments, you will be able to learn about yourself and to expand your teaching progress to new levels. It is a change to be part of a different model of education that prepares pupils as multi-skilled individuals and embrace future endeavours empowered by their abilities. Inspired schools are individually designed and developed in response to their environment and location and remain anchored in the vibrant cultures in which they inhabit. Collectively, they form an international community that nurtures each student's academic and personal development with the application of a progressive, dynamic, and innovative educational model. What are we looking for? If you are interested and willing to participate in a wide variety of business areas, process & events management, administration and marketing, join us! Ability to act as a role model to students within schools Creative and self-motivated attitude to problem solving Flexible approach to work, happy to “juggle” different things at the same time Positive attitude, energy and eager to learn Public - facing skills Intermediate level of Spanish Academic support role An academic support function may involve the following tasks: Administration Ordering of materials for use in the school Collection of information—e.g. trip permissions, registers Assiting with register and attendance Supporting in administration tasks when needed Collaboring in the organisation of the School day and residential trips Admissions Supporting the admissions office with (re)enrolling students Creating information packs for prospective students Marking and assessing entrance exams for potential entrants Marketing Gathering information and media from school events to use in marketing activities Updating the public webpage and being attentive in the material shared to make sure the correct information is distributed Keeping social media pages up to date Creating school newsletters Being part of a cross-school marketing team Marketing and Organisation of events in the school including charity events.",0.1450212,0.14524835,0.22469349,0.17405522,0.17225456
Middle School Academic Intern,The American School in Switzerland,Switzerland,10 months,"10 Jan, 2024","1 Mar, 2025",Education and/or Teacher Training,https://erasmusintern.org/traineeship/middle-school-academic-intern-1,47,"Commitment and integrity A sound interest in learning and understanding the philosophy and overall operations of the co-curricular program and the needs of students with regard to co-curricular activities English fluency Outstanding interpersonal skills and cultural sensitivity, able to clearly communicate both orally and in writing to a diverse group of cultures and in diverse settings. This extends to strong listening skills. Proven organizational skills Problem-solving, conflict resolution, and team-building skills Demonstrated proficiency in required technology (Word, Excel, Google Suite for Education) and willingness to work with our school database Willingness to contribute to strengthen and develop the Academic and Residential Life programs First Aid and CPR Certified Additional comments: In order to satisfy Swiss Law requirements surrounding internships, we will only be able to accept candidates who will be able to start the internship in their first year after graduation OR candidates for whom an internship is required by a training institute with a maximum duration regulated by the training institute. This internship can be completed as part of a pre-requirement to access a specific school, or in order to obtain the academic diploma. The Intern should also be available to perform any task relevant to the position assigned by the Supervisors and the School in line with the provisions of Swiss law. Please apply using the Faculty Employment Application form by March 31, 2024. ONLY APPLICATIONS RECEIVED ON THE TASIS WEBSITE WILL BE CONSIDERED",0.21608779,0.09967028,0.20750082,0.16410217,0.17184028
Administration help,KS Wilanów,"Warsaw, Poland",6 months,"14 Feb, 2025","31 May, 2025","Business Studies and/or Management Science, Education and/or Teacher Training, Humanities",https://erasmusintern.org/traineeship/administration-help,10,You will help with administration of women football club.,0.17018242,0.1226198,0.2096197,0.18451881,0.17173518
Wahlstation in den Niederlanden,Law Firm in the Netherlands | MAAK Attorneys,"Amsterdam, Netherlands",12 months,"6 Sep, 2023","30 Apr, 2025",Law,https://erasmusintern.org/traineeship/wahlstation-den-niederlanden,53,"Internships in the Netherlands Amsterdam, with its rich legal tradition and international ethos, is an ideal location for aspiring lawyers looking to hone their skills. MAAK Advocaten, located in the heart of this vibrant city, offers an exceptional internship program designed for legal students and trainees keen on immersing themselves in Dutch law and comparing it with their native legal systems. Why Choose MAAK Advocaten for Your Internship? MAAK Advocaten stands out in several unique ways: Diverse Expertise: Our team comprises dedicated lawyers from various nationalities, including Dutch and German professionals, catering to both domestic and foreign enterprises. This mix allows for a dynamic exchange of ideas, cultural perspectives, and legal methodologies. Industry Specialization: Our firm is renowned for our deep specialization in the manufacturing industry, colloquially termed 'Maakindustrie' in Dutch. With a clientele constantly at the forefront of innovation with new machinery, products, and services, we provide strategic advice to address the challenges that manufacturing enterprises face. Comprehensive Service Offering: We provide a holistic approach, crafting contracts, acquainting clients with Dutch legalities, and representing them effectively in all Dutch courts as needed. Modern Work Environment: Driven by a growth-oriented vision, MAAK Advocaten employs cutting-edge software tools and promotes a flexible working ethos. Our environment is open, informal, and collaborative, fostering an atmosphere where each individual's strengths shine. Broadening Your Legal Skillset Our internships are an excellent opportunity for students to apply their academic learnings: Exposure to the German Desk in Holland : Given our strong focus on the German market, interns often find themselves assisting Dutch lawyers in the German Desk . This real-world exposure to cross-border cases within the European Union is invaluable. Tackling Diverse Legal Challenges: Interns gain familiarity with trade law, corporate law, contract law, and liability law. Additionally, observing our lawyers represent clients in Dutch courts offers a practical understanding of Dutch procedural law. Strengthening International Relationships:  By communicating with international clients, drafting documents in both German and Dutch, and collaborating closely with our team, interns comprehend the nuances of Dutch-German trade relations and the broader European legal marketplace. What We Seek in Our Interns At MAAK Advocaten, we believe in potential. If you demonstrate initiative, commitment, and a positive attitude, we want to hear from you. Furthermore, we value: - Strong knowledge in trade, corporate law, contract law, and liability law. - Proactive engagement in international cases. - A practical, hands-on approach. - Dedication to finding optimal solutions for our international clientele. Elevate Your Career with MAAK Advocaten Embarking on an internship at MAAK Advocaten is more than just a professional experience—it's a transformative journey. We pride ourselves on fostering a team-oriented workspace where both Dutch and German-speaking lawyers value and nurture your contributions, pushing you to achieve your best. In the world of law, where boundaries are increasingly blurred, and the global perspective becomes ever more critical, MAAK Advocaten is your gateway to an enriching international legal experience. Traineeship coordinator: Remko Roosjen As one of the managing partners at MAAK Advocaten, Remko is one of the main contacts for our trainees. He has over 15 years of experience and is one of the main contacts of our legal interns. Read more on the internet over Remko via this links: Website: Attorney in the Netherlands Tumblr: Attorney in Holland Reddit: Lawyer in Holland LinkedIn: Commercial attorney in Holland Twitter: Dutch lawyer Blogger: Litigation lawyer in the Netherlands HG.org: Lawyer in the Netherlands WIX: Dutch attorney About Me: Anwalt Niederlande Quora: https://nl.quora.com/profile/Remko-Roosjen LinkedIn: Anwalt für Vertragsrecht in den Niederlanden",0.20154911,0.12214581,0.15955268,0.2033426,0.17164755
Multimedia/Digital Drawing Expert,Agrupamento de Escolas Alcaides de Faria,"Barcelos, Portugal",2 months,"12 Jul, 2024","31 Mar, 2025",Art and Design,https://erasmusintern.org/traineeship/multimediadigital-drawing-expert,35,"Be enrolled in a university or be a recent graduate in one of the areas mentioned above; Have a good level of English; Have good communication and teamwork skills; Be motivated, proactive and have a positive attitude; Have an interest in learning about other cultures and ways of life. Cost: This programme is an unpaid Erasmus+ opportunity. However, the school will provide access to the canteen (lunch at €1.6) and bar at student price. The duration of the internship will be until 31/05/2025. How to apply: Interested applicants should send a motivation letter and an updated CV to [email protected]",0.1765558,0.09550442,0.21941674,0.19403753,0.17137861
Project Coordination § Management Internship in Germany,Jugendvision e.V.,"Stuttgart, Germany",3 months,"13 Apr, 2024","3 Mar, 2025","Business Studies and/or Management Science, Education and/or Teacher Training, Social Sciences",https://erasmusintern.org/traineeship/project-coordination-%C2%A7-management-internship-germany,42,"Project Coordination § Management Duration: 3 months Commitment: Full-time / 40 hours per week Internship Location: Hybrid / Stuttgart, Germany / Online / In the project venue-Country Duration: 3 Months (max. 89 Days) Compensation: Unpaid Start Date: Flexible Application Form: linktr.ee/jugendvision.ev Jugendvision e.V. (JA) is a non-governmental organization based in Stuttgart, Germany, committed to promoting the personal and professional development of young people through local and international projects in the areas of youth, education, and culture. With a focus on social and intercultural learning, Ja provides a platform for young people to develop new skills, gain valuable experience, and make meaningful connections with peers from different backgrounds. JA coordinates a variety of local and international initiatives, including but not limited to European Solidarity Corps and Erasmus+ projects. These encompass youth exchanges, training courses, Discover EU, and strategic partnership projects. We are also active in social media, promoting our activities and the values of European citizenship. We are actively seeking Erasmus+ interns to be part of our team for unique three-month hybrid (onsite and online) internships. This is an excellent opportunity to join a vibrant and dedicated team, where you'll not only enhance your skills in project management, youth work, and intercultural communication but also play a crucial role in bringing impactful projects to life. Internship Phases: Phase 1: Duration: 3 months (max. 89 Days), from July 1, 2025, to September 30, 2025 Format: Hybrid (online and onsite) Work Hours: 40 hours per week Phase 2: Duration: 3 months (max. 89 Days), from September 30, 2025, to December 31, 2025 Format: Hybrid (online and onsite) Work Hours: 40 hours per week The phases are subject to change/flexibility based on the availability of Jugendvision e.V. and/or project requirements. Key Responsibilities: Coordinate and implement both local and international projects, overseeing all phases from planning and logistics to evaluation and dissemination. Lead and facilitate educational activities, meetings, workshops, and training programs in local and international contexts. Design and execute social media strategies, including the creation of promotional materials, to effectively disseminate information about project initiatives. Conduct research, gather necessary materials, and prepare comprehensive documentation and reports to meet project and organizational requirements. Manage project schedules and allocate resources efficiently to ensure timely progression and completion of projects. Build and maintain communication with stakeholders and partners to foster collaborative relationships. Monitor project outcomes and evaluation Develop and compose project proposals, articulating objectives and strategies for potential initiatives. Support advocacy and public relations efforts, representing the organization at various events and forums. Actively contribute to team meetings, offering insights for project improvement and evaluation. Offer administrative support to streamline project operations and facilitate organizational efficiency when necessary. Please note, the roles and responsibilities are subject to adaptation to meet changing organizational needs and objectives. Qualifications: Applicants must be actively enrolled in a higher education program closely aligned with international relations, youth work, social sciences, social work, project management, communication, or related fields. Final-year students are welcome to apply; however, they should not officially complete their academic programs until after the internship concludes. Demonstrated interest and/or experience in project coordination and management Proactive, and organized, with the capacity for both independent and collaborative work; identifying potential challenges and opportunities, and contributing ideas for project improvement. Strong ability to organize and prioritize tasks efficiently Excellent written and verbal communication skills with proficiency in English; German language skills are a plus Capable of conducting research, analyzing data, and synthesizing information to support project decisions and reports Comfortable working in a fast-paced and changing environment, capable of adjusting strategies and approaches as needed Proficient in Microsoft Office, Google Drive or similar digital softwares. Familiarity with digital communication tools and platforms such as Canva A passion for social causes and a keen interest in contributing to the nonprofit sector. What We Offer: Direct involvement in planning, executing, and evaluating projects. You'll gain insights into the lifecycle of project management within a supportive NGO environment. A supportive, inclusive culture emphasizing diversity and creative expression Play a role in projects that have a real impact on communities and individuals. Your work will contribute to meaningful change in the areas of youth, education, and culture. Comprehensive coverage for travel, lodging, and meals during international projects’ onsite engagement Access to a network of professionals in the non-profit sector, media, and beyond Opportunities for travel and participation in additional organizational activities Possibility of receiving Europass Certification for project involvement",0.17633873,0.21011816,0.1528443,0.1453161,0.17115432
English language assistant Internship,San Juan Bosco,"Morón de la Frontera (Sevilla), Spain",10 months,"23 Apr, 2022","31 Mar, 2025",Languages and Philological Sciences,https://erasmusintern.org/traineeship/english-language-assistant-internship,70,"infants 3-5, primary 5-11, secondary 12-16 and Vocationa Education and Training 17-18. The Assistant may be assigned the following tasks under the coordination and supervision of a full time  English Teacher: Teaching of the culture and customs of their own country and inspire an international outlook Engage students in specific speaking practices and fun activities through conversation, songs, games. Help students prepare for oral examinations and practise their speaking skills, especially pronunciation and intonation. To assist the teachers in providing attention to the children to enhance their learning and development, as well as form trusting professional relationships with the children and families by creating a positive, nurturing environment. A professional relationship involving trust and respect with the students must be established from the beginning. It is equally important to adapt to customs and integrate into the life of the center by participating in extracurricular activities, which will allow greater contact with the language of the country.",0.14894387,0.14430642,0.19429849,0.19651815,0.17101672
International Training Assistant,Erasmus Learning Academy - ELA,"Puerto de la Cruz, Spain",4 months,"10 Apr, 2024","5 May, 2025",Education and/or Teacher Training,https://erasmusintern.org/traineeship/international-training-assistant-3,42,"support the trainer and the group during the courses implemented by the organisation (preparing materials, helping during activities, managing the class, taking pictures...) implementation of cultural activities in the city (2 guided walking tours) communication and meeting with stakeholders and other partners networking with different schools and education institutions at international level translation of documents and materials about education in different languages",0.24600627,0.11479766,0.18091528,0.14207163,0.1709477
Erasmus+ Internship in Health Sciences,Atatürk University,"Erzurum, Turkey",3 months,"5 Feb, 2025","1 Jun, 2025",Medical Sciences,https://erasmusintern.org/traineeship/erasmus-internship-health-sciences,13,No prior experience is necessary.,0.1697995,0.11552211,0.22238092,0.17584196,0.17088613
